,Query,Document
0,Q1,D28
1,Q1,D35
2,Q1,D38
3,Q1,D42
4,Q1,D43
5,Q1,D52
6,Q1,D65
7,Q1,D76
8,Q1,D86
9,Q1,D150
10,Q1,D189
11,Q1,D192
12,Q1,D193
13,Q1,D195
14,Q1,D215
15,Q1,D269
16,Q1,D291
17,Q1,D320
18,Q1,D429
19,Q1,D465
20,Q1,D466
21,Q1,D482
22,Q1,D483
23,Q1,D510
24,Q1,D524
25,Q1,D541
26,Q1,D576
27,Q1,D582
28,Q1,D589
29,Q1,D603
30,Q1,D650
31,Q1,D680
32,Q1,D711
33,Q1,D722
34,Q1,D726
35,Q1,D783
36,Q1,D813
37,Q1,D820
38,Q1,D868
39,Q1,D869
40,Q1,D894
41,Q1,D1162
42,Q1,D1164
43,Q1,D1195
44,Q1,D1196
45,Q1,D1281
46,Q2,D29
47,Q2,D68
48,Q2,D197
49,Q2,D213
50,Q2,D214
51,Q2,D309
52,Q2,D319
53,Q2,D324
54,Q2,D429
55,Q2,D499
56,Q2,D636
57,Q2,D669
58,Q2,D670
59,Q2,D674
60,Q2,D690
61,Q2,D692
62,Q2,D695
63,Q2,D700
64,Q2,D704
65,Q2,D709
66,Q2,D720
67,Q2,D731
68,Q2,D733
69,Q2,D738
70,Q2,D740
71,Q2,D1136
72,Q3,D60
73,Q3,D85
74,Q3,D114
75,Q3,D123
76,Q3,D126
77,Q3,D131
78,Q3,D133
79,Q3,D136
80,Q3,D138
81,Q3,D140
82,Q3,D346
83,Q3,D359
84,Q3,D363
85,Q3,D372
86,Q3,D412
87,Q3,D445
88,Q3,D454
89,Q3,D461
90,Q3,D463
91,Q3,D469
92,Q3,D532
93,Q3,D537
94,Q3,D540
95,Q3,D553
96,Q3,D554
97,Q3,D555
98,Q3,D585
99,Q3,D590
100,Q3,D599
101,Q3,D640
102,Q3,D660
103,Q3,D664
104,Q3,D803
105,Q3,D901
106,Q3,D909
107,Q3,D911
108,Q3,D1027
109,Q3,D1053
110,Q3,D1169
111,Q3,D1179
112,Q3,D1181
113,Q3,D1190
114,Q3,D1191
115,Q3,D1326
116,Q4,D310
117,Q4,D315
118,Q4,D321
119,Q4,D329
120,Q4,D332
121,Q4,D420
122,Q4,D601
123,Q4,D980
124,Q5,D32
125,Q5,D56
126,Q5,D65
127,Q5,D114
128,Q5,D124
129,Q5,D137
130,Q5,D187
131,Q5,D188
132,Q5,D191
133,Q5,D241
134,Q5,D339
135,Q5,D370
136,Q5,D400
137,Q5,D451
138,Q5,D453
139,Q5,D471
140,Q5,D525
141,Q5,D528
142,Q5,D642
143,Q5,D648
144,Q5,D692
145,Q5,D1035
146,Q5,D1246
147,Q5,D1356
148,Q6,D400
149,Q7,D310
150,Q7,D320
151,Q7,D332
152,Q7,D375
153,Q7,D376
154,Q7,D645
155,Q7,D724
156,Q7,D725
157,Q8,D37
158,Q8,D40
159,Q8,D65
160,Q8,D507
161,Q8,D529
162,Q8,D707
163,Q8,D760
164,Q8,D802
165,Q8,D864
166,Q8,D900
167,Q8,D1024
168,Q8,D1161
169,Q8,D1225
170,Q8,D1226
171,Q8,D1267
172,Q8,D1382
173,Q8,D1409
174,Q8,D1414
175,Q9,D6
176,Q9,D174
177,Q9,D175
178,Q9,D179
179,Q9,D212
180,Q9,D320
181,Q9,D324
182,Q9,D329
183,Q9,D566
184,Q9,D572
185,Q9,D577
186,Q9,D600
187,Q9,D1077
188,Q9,D1120
189,Q9,D1129
190,Q9,D1130
191,Q9,D1131
192,Q9,D1159
193,Q9,D1161
194,Q9,D1162
195,Q9,D1164
196,Q9,D1165
197,Q9,D1185
198,Q9,D1190
199,Q9,D1191
200,Q9,D1224
201,Q9,D1225
202,Q9,D1267
203,Q9,D1294
204,Q9,D1323
205,Q9,D1327
206,Q9,D1382
207,Q9,D1388
208,Q9,D1427
209,Q10,D25
210,Q10,D175
211,Q10,D228
212,Q10,D229
213,Q10,D233
214,Q10,D277
215,Q10,D399
216,Q10,D462
217,Q10,D536
218,Q10,D540
219,Q10,D574
220,Q10,D605
221,Q10,D615
222,Q10,D829
223,Q10,D972
224,Q10,D1045
225,Q10,D1082
226,Q10,D1116
227,Q10,D1117
228,Q10,D1119
229,Q10,D1123
230,Q10,D1141
231,Q10,D1159
232,Q10,D1173
233,Q10,D1204
234,Q10,D1385
235,Q11,D2
236,Q11,D15
237,Q11,D32
238,Q11,D33
239,Q11,D37
240,Q11,D41
241,Q11,D63
242,Q11,D67
243,Q11,D87
244,Q11,D90
245,Q11,D95
246,Q11,D110
247,Q11,D113
248,Q11,D116
249,Q11,D121
250,Q11,D153
251,Q11,D160
252,Q11,D163
253,Q11,D165
254,Q11,D166
255,Q11,D169
256,Q11,D172
257,Q11,D199
258,Q11,D202
259,Q11,D215
260,Q11,D219
261,Q11,D223
262,Q11,D243
263,Q11,D252
264,Q11,D254
265,Q11,D266
266,Q11,D309
267,Q11,D314
268,Q11,D327
269,Q11,D345
270,Q11,D355
271,Q11,D356
272,Q11,D360
273,Q11,D371
274,Q11,D372
275,Q11,D373
276,Q11,D381
277,Q11,D386
278,Q11,D391
279,Q11,D395
280,Q11,D398
281,Q11,D415
282,Q11,D439
283,Q11,D440
284,Q11,D453
285,Q11,D456
286,Q11,D513
287,Q11,D533
288,Q11,D544
289,Q11,D547
290,Q11,D560
291,Q11,D602
292,Q11,D605
293,Q11,D656
294,Q11,D657
295,Q11,D666
296,Q11,D714
297,Q11,D716
298,Q11,D718
299,Q11,D719
300,Q11,D723
301,Q11,D728
302,Q11,D731
303,Q11,D733
304,Q11,D737
305,Q11,D738
306,Q11,D739
307,Q11,D763
308,Q11,D771
309,Q11,D772
310,Q11,D788
311,Q11,D789
312,Q11,D821
313,Q11,D828
314,Q11,D837
315,Q11,D839
316,Q11,D845
317,Q11,D899
318,Q11,D952
319,Q11,D953
320,Q11,D965
321,Q11,D967
322,Q11,D1080
323,Q11,D1081
324,Q11,D1089
325,Q11,D1094
326,Q11,D1095
327,Q11,D1096
328,Q11,D1098
329,Q11,D1099
330,Q11,D1102
331,Q11,D1110
332,Q11,D1113
333,Q11,D1114
334,Q11,D1121
335,Q11,D1122
336,Q11,D1128
337,Q11,D1151
338,Q11,D1155
339,Q11,D1156
340,Q11,D1158
341,Q11,D1160
342,Q11,D1223
