,Code,Bool Query
0,Q1,"#and ('titles', #or ('automatically', 'retrieving', 'problems',                           'concerns', 'descriptive',                           'approximate', 'difficulties',  'content', 'relevance','articles'))"
1,Q2,"#and (#or('data', 'information'),            #or('automatically', 'retrieved','requests',               'pertinent', 'response',#not (#or ('articles', 'references')) ) )"
2,Q3,"#and ('information',#or ('science', 'definition'))"
3,Q4,"#or (#and ('image', 'recognition'),           #and ( #or ('printed', 'text'),                  #or ('methods', 'automatically', 'transforming',       'computer-ready') ) )"
4,Q5,"#and (#or ('training', 'use', 'need', 'systems', 'problems'),    #or ('special',  'ordinary', 'proper', 'researchers','encounter'),   #or ('information', 'management', 'retrieval') )"
5,Q6,"#and (#or ('communication', 'verbal'),   #or ('possibilities', 'word', 'computers', 'humans') )"
6,Q7,"#and ( #or ('systems', 'data-processing',                 'coded', 'printing', 'publishing'),            #or ('retrieval', 'byproduct', 'papers', 'computer', 'working',        'planned', 'saving', 'articles') )"
7,Q8,"#and (#or ('languages', 'indexing'),    #or ('information', 'retrieval', 'science') )"
8,Q9,"#and (#or ('information', 'retrieval', 'system', 'automatic',                 'possibilities','inclusion', 'analysis'),    #or ('grammatical', 'contextual') )"
9,Q10,"#or (#and ('group', 'mathematics'),           #and ('mathematics',  #or ('abstract', 'information', 'retrieval') ) )"
10,Q11,"#and (#or ('need', 'information', 'scientific', 'research'),    #or ('consolidation', 'evaluation', 'retrieval') )"
11,Q12,"#and (#or ('publication', 'printing', 'distribution'),    #or ('methods', 'scientific', 'journals') )"
12,Q13,"#and (#or ('information', 'retrieval', 'dissemination', 'systems'),    #or ('criteria', 'evaluation', 'objective') )"
13,Q14,"#and ('medical', #or ('future', 'automatic')) "
14,Q15,"#and (#or ('cost', 'worth', 'industry'),            #or ('information', 'retrieval', 'dissemination', 'libraries'),    #or ('systems', 'automated', 'researcher', 'industry') )"
15,Q16,"#and (#or ('information', 'retrieval', 'systems'),     #or ('future', 'stations', 'remote') )"
16,Q17,"#and (#or ('output', 'obtaining', 'usable', 'customer',                  'volume', 'speed'),            #or ('information', 'retrieval'),    #or ('large', 'high', 'customer', 'volume', 'output') )"
17,Q18,"#and(#or ('structures', 'structural', 'formulas', 'drawing',                  'compounds', 'chemical'),           #or ('methods', 'automatically','extended', 'encoding', 'matching'))"
18,Q19,"#and (#or ('matching', 'searching', 'coding'),    #or ('methods', 'machine', 'techniques', 'systems') )"
19,Q20,"#and ('testing', #or ('systems', 'automated', 'information') )"
20,Q21,"#and ('personnel', #or ('need', 'provide', 'information', 'field') )"
21,Q22,"#and ('medical', #or ('automated', 'information', 'field') )"
22,Q23,"#and ( 'libraries',             #or ('books', 'use', 'relation', 'systems', 'amount'),     #or ('automated', 'information') )"
23,Q24,"#and(#or ('education', 'training', 'needs', 'programs'),           #or ('possibilities', 'personnel', 'providing', 'requirements'),   #or ('information', 'field') )"
24,Q25,"#and ('international', #or ('systems', 'exchange', 'dissemination',  'information') )"
25,Q26,"#and ('cost', #or ('systems', 'automated',  'information', 'determination'))"
26,Q27,"#and (#or ('computerized', 'systems'),     #or ('indexing', 'information', 'retrieval'))"
27,Q28,"#and ('chemistry', #or ('computerized', 'systems', 'information') )"
28,Q29,"#and (#or ('specific', 'index', 'advantages'),    #or ('computerized', 'index', 'systems') )"
29,Q30,"#and (#or ('journals', 'periodicals'),     #or ('information', 'dissemination') )"
30,Q31,"#and (#or ('physical', 'sciences'), #or ('information', 'systems') )"
31,Q32,"#or (#and ('libraries',                  #or ('general', 'computerized', 'mechanized', 'systems')),           #and (#or ('problems', 'methods', 'systems', 'indexing'), #or ('indexing', 'automated', 'author', 'title')) )"
32,Q33,"#and (#or ('distance', 'transmission'),    #or ('retrieval', 'systems', 'automated', 'information') )"
33,Q34,"#and (#or ('coding', 'index', 'methods'),     #or ('methods', 'computerized', 'systems') )"
34,Q35,"#and ('government',     #or ('information', 'dissemination', 'agencies', 'projects') )"
