,Query,Word
0,Q1,problem
1,Q1,concern
2,Q1,make
3,Q1,descript
4,Q1,titl
5,Q1,difficulti
6,Q1,involv
7,Q1,automat
8,Q1,retriev
9,Q1,articl
10,Q1,approxim
11,Q1,titl
12,Q1,usual
13,Q1,relev
14,Q1,content
15,Q1,articl
16,Q1,titl
17,Q2,actual
18,Q2,pertin
19,Q2,data
20,Q2,oppos
21,Q2,refer
22,Q2,entir
23,Q2,articl
24,Q2,retriev
25,Q2,automat
26,Q2,respons
27,Q2,inform
28,Q2,request
29,Q3,inform
30,Q3,scienc
31,Q3,give
32,Q3,definit
33,Q3,possibl
34,Q4,imag
35,Q4,recognit
36,Q4,method
37,Q4,automat
38,Q4,transform
39,Q4,print
40,Q4,text
41,Q4,computer-readi
42,Q4,form
43,Q5,special
44,Q5,train
45,Q5,ordinari
46,Q5,research
47,Q5,businessmen
48,Q5,need
49,Q5,proper
50,Q5,inform
51,Q5,manag
52,Q5,unobstruct
53,Q5,use
54,Q5,inform
55,Q5,retriev
56,Q5,system
57,Q5,problem
58,Q5,like
59,Q5,encount
60,Q6,possibl
61,Q6,verbal
62,Q6,commun
63,Q6,comput
64,Q6,human
65,Q6,commun
66,Q6,via
67,Q6,spoken
68,Q6,word
69,Q7,describ
70,Q7,present
71,Q7,work
72,Q7,plan
73,Q7,system
74,Q7,publish
75,Q7,print
76,Q7,origin
77,Q7,paper
78,Q7,comput
79,Q7,save
80,Q7,byproduct
81,Q7,articl
82,Q7,code
83,Q7,data-process
84,Q7,form
85,Q7,use
86,Q7,retriev
87,Q8,describ
88,Q8,inform
89,Q8,retriev
90,Q8,index
91,Q8,languag
92,Q8,bear
93,Q8,scienc
94,Q8,gener
95,Q9,possibl
96,Q9,automat
97,Q9,grammat
98,Q9,contextu
99,Q9,analysi
100,Q9,articl
101,Q9,inclus
102,Q9,inform
103,Q9,retriev
104,Q9,system
105,Q10,use
106,Q10,abstract
107,Q10,mathemat
108,Q10,inform
109,Q10,retriev
110,Q10,e.g.
111,Q10,group
112,Q10,theori
113,Q11,need
114,Q11,inform
115,Q11,consolid
116,Q11,evalu
117,Q11,retriev
118,Q11,scientif
119,Q11,research
120,Q12,give
121,Q12,method
122,Q12,high
123,Q12,speed
124,Q12,public
125,Q12,print
126,Q12,distribut
127,Q12,scientif
